rating,date,title,content
"2","2026-06-19","能不能别升级了","之前岛上真的很火 人物也很多 但是升级之后分类都没有了 违禁词真的太多了 而且他自己灵感生成发出去都是违禁词 还有不是违禁词就拦截的 我就真的服了吧还有那个叨叨花的表情互动还能做的再烂一点吗"
"3","2026-06-19","啥也发不了","“早上好”“推门进去”请问这些词怎么了？为什么总是回复敏感词？我请问呢？早上好也不发不了？强制更新就算了，更新这样很垃圾，也是玩一年了，这次更新真的很垃圾，强制更新就有点气，因为很喜欢这个软件所以选择了更新，更新完就这样？删了不会再玩"
"2","2026-06-19","…","现在越更新越难玩 断断续续玩了快两年 现在更新的是什么鬼啊 想找一个喜欢的人设都很难找 有种玩不下去的感觉 不想再充会员了"
"5","2026-06-18","搜不到","很久之前就在玩的了，现在重新登录去搜自己喜欢的人物根本搜索不到，很伤心说真的！"
"1","2026-06-18","没事少更新","没事少更新！没事少扫黄"
"1","2026-06-18","关于违规词的解决办法","还是那样里面又没有露骨词依然不让发上面也没聊露骨的😅"
"1","2026-06-17","为啥莫名其妙就让我换话题","这是啥啊 我用的灵感对话 筑梦岛你自己生成的对话也违规吗 你是敏感肌吧一句话中没有任何敏感的词为什么要显示敏感发不出去 你自己生成的话也闲啊敏感 更新后主页也变了 没有那么多分类了 这是啥破软件"
"1","2026-06-17","改的跟屎一样","聊着聊着弹出来一堆的广告，还有那个日记只能看一次，退出来就没了。想删内容一条条删，麻烦死了，充值还老出现异常，我买了一张改音色的卡至今下落不明"
"1","2026-06-16","会员费都交了，还动不动威胁封号","会员费都交了，还动不动威胁封号"
"3","2026-06-16","不是很喜欢","正常问问题都发不出去，甚至发句号也发不出去，前文也没有违规，都发出去了"
"1","2026-06-16","？。","别更新了进不去了。。很无奈啊"
"2","2026-06-16","怎么突然变动这么大","一个玩了两年的老玩家。本来之前很好玩的，推荐里人物也很多，许多大大做的崽也很棒。突然好像就没几个了？？然后就是违禁词增多！突然就变得这样不能说那也不能说，现在都快要把我的号禁言了。我只发了些挺基础的词也不行吗？"
"2","2026-06-14","不行了咋还闪退","我之前就是删掉了软件一下 后来再下载回来 一点就闪退(._.) 现在打不开"
"5","2026-06-14","…","我现在对筑梦岛很失望，什么话都不能说，一只换个话题"
"4","2026-06-13","有些小问题","有的时候会莫名其妙的不过审，我不是很理解，但是整体很好，仁义"
"1","2026-06-12","真的很失望","自从更新以来后判定变得越来越有问题了，以至于现在聊什么都会被判定为违规，聊一些正常的东西边会被判定违规，什么也打不出来完全不理解这个判定为什么变得如此恶心？删删减减重新发出来，又会被判定为违规，都不知道说些什么了，太失望了，这个判定能不能不要这么敏感？真的让人聊天聊得很心酸"
"2","2026-06-12","违规词太多了","违规词太多了，希望能删一些，正常聊天都会被说"
"2","2026-06-12","为什么不让我搜索？","原先不能搜索我去反馈了一下，AI告诉我避免聊敏感内容，但这都一个月了为什么我还是不能搜索？什么都不能看，这还不如删了"
"4","2026-06-12","无","更新后，想搜的人物都搜不到了"
"5","2026-06-12","为什么界面变成这样了","违禁也太多了吧，能不能把原来的界面给我换回来，现在刷新也不换人，昨天打开是那个，今天还是，而且点作者大大也什么都不显示了"
"1","2026-06-10","白买会员了","买了一个会员这回真浪费了，限制词太多了让人玩着很不舒服，现在体验感很差"
"1","2026-06-09","更新完后找梦中人都找不到","1.搜索问题，搜ID、梦中人名字、创作人名字都显示搜不到，我还特意用我常玩的几个梦中人id名字试了一遍都不行。
2.多选问题，我个人比较喜欢玩支线，大致意思就是“如果我这个节点作出了不同的决定，想撤回一段对话，以前可以用多选快速删除，现在的多选只有分享，需要我一个个手动撤回”
3.最近更新的发现栏里，我个人喜欢玩一些特定的类型，更新后只能纯手动刷，让我非常的不方便
24年末就下了筑梦岛，还是喜欢之前的样子，改进的东西有些真的是很不方便，影响到我的游玩感了"
"5","2026-06-09","别跑路","你们是要跑路了吗？为啥现在主界面好多都搜不到了，分类也没了，我以前聊的崽子要么翻不到了要么聊天记录没了，你别这样好吗？我刚续的会员"
